k,bin,comparison,jaccard,n_overlap
32,64k,y2 vs y2_rpe,0.7297,27
32,64k,lora vs published,0.2308,9
32,64k,y2 vs published,0.2632,10
32,64k,y2_rpe vs published,0.2632,10
32,128k,lora vs y2,0.7297,27
32,128k,lora vs y2_rpe,0.6842,26
32,128k,y2 vs y2_rpe,0.7778,28
32,128k,lora vs published,0.2308,9
32,128k,y2 vs published,0.2000,8
32,128k,y2_rpe vs published,0.2632,10
