bin,head,condition,ref_score,score,delta
2k,19-18,lora_base,0.397535,0.397535,0.000000
2k,19-6,lora_base,0.397265,0.397265,0.000000
2k,16-1,lora_base,0.391496,0.391496,0.000000
2k,19-23,lora_base,0.389235,0.389235,0.000000
2k,12-24,lora_base,0.385279,0.385279,0.000000
2k,11-24,lora_base,0.385073,0.385073,0.000000
2k,16-0,lora_base,0.383493,0.383493,0.000000
2k,11-27,y2_base,0.473002,0.462907,-0.010095
2k,19-20,y2_base,0.471157,0.373979,-0.097177
2k,19-22,y2_base,0.455780,0.392027,-0.063753
2k,18-16,y2_base,0.454711,0.407460,-0.047251
2k,19-15,y2_base,0.432458,0.417054,-0.015404
2k,11-23,y2_base,0.426152,0.432699,0.006547
2k,16-4,y2_base,0.424880,0.392236,-0.032644
2k,16-20,y2_base,0.401720,0.383854,-0.017867
2k,20-26,y2_base,0.398617,0.369486,-0.029131
2k,19-18,y2_base,0.397535,0.353026,-0.044508
2k,19-6,y2_base,0.397265,0.372742,-0.024524
2k,16-1,y2_base,0.391496,0.353025,-0.038472
2k,19-23,y2_base,0.389235,0.294407,-0.094828
2k,12-24,y2_base,0.385279,0.449341,0.064063
2k,11-24,y2_base,0.385073,0.507072,0.121999
2k,16-0,y2_base,0.383493,0.410792,0.027299
2k,11-27,y2_rpe_cur_L16k,0.473002,0.390312,-0.082689
2k,19-20,y2_rpe_cur_L16k,0.471157,0.511994,0.040838
2k,19-22,y2_rpe_cur_L16k,0.455780,0.422971,-0.032808
2k,18-16,y2_rpe_cur_L16k,0.454711,0.477388,0.022677
2k,19-15,y2_rpe_cur_L16k,0.432458,0.531650,0.099192
2k,11-23,y2_rpe_cur_L16k,0.426152,0.382647,-0.043505
2k,16-4,y2_rpe_cur_L16k,0.424880,0.287373,-0.137506
2k,16-20,y2_rpe_cur_L16k,0.401720,0.374405,-0.027315
2k,20-26,y2_rpe_cur_L16k,0.398617,0.336257,-0.062360
2k,19-18,y2_rpe_cur_L16k,0.397535,0.409163,0.011628
2k,19-6,y2_rpe_cur_L16k,0.397265,0.396531,-0.000734
2k,16-1,y2_rpe_cur_L16k,0.391496,0.341159,-0.050337
2k,19-23,y2_rpe_cur_L16k,0.389235,0.438329,0.049094
2k,12-24,y2_rpe_cur_L16k,0.385279,0.358843,-0.026435
2k,11-24,y2_rpe_cur_L16k,0.385073,0.455297,0.070223
2k,16-0,y2_rpe_cur_L16k,0.383493,0.286377,-0.097116
4k,18-16,lora_base,0.452883,0.452883,0.000000
4k,19-22,lora_base,0.440651,0.440651,0.000000
4k,19-20,lora_base,0.433875,0.433875,0.000000
4k,11-27,lora_base,0.424728,0.424728,0.000000
4k,16-20,lora_base,0.416347,0.416347,0.000000
4k,19-15,lora_base,0.410410,0.410410,0.000000
4k,19-6,lora_base,0.403025,0.403025,0.000000
4k,20-26,lora_base,0.401246,0.401246,0.000000
4k,16-4,lora_base,0.399781,0.399781,0.000000
4k,11-23,lora_base,0.390901,0.390901,0.000000
4k,16-0,lora_base,0.371094,0.371094,0.000000
4k,16-1,lora_base,0.361853,0.361853,0.000000
4k,19-23,lora_base,0.361783,0.361783,0.000000
4k,11-24,lora_base,0.358714,0.358714,0.000000
4k,19-18,lora_base,0.357180,0.357180,0.000000
4k,20-21,lora_base,0.351096,0.351096,0.000000
4k,18-16,y2_base,0.452883,0.384616,-0.068267
4k,19-22,y2_base,0.440651,0.367030,-0.073620
4k,19-20,y2_base,0.433875,0.344202,-0.089672
4k,11-27,y2_base,0.424728,0.397340,-0.027388
4k,16-20,y2_base,0.416347,0.369518,-0.046829
4k,19-15,y2_base,0.410410,0.361874,-0.048535
4k,19-6,y2_base,0.403025,0.354209,-0.048817
4k,20-26,y2_base,0.401246,0.336704,-0.064542
4k,16-4,y2_base,0.399781,0.338063,-0.061718
4k,11-23,y2_base,0.390901,0.351259,-0.039642
4k,16-0,y2_base,0.371094,0.391606,0.020512
4k,16-1,y2_base,0.361853,0.294227,-0.067626
4k,19-23,y2_base,0.361783,0.287568,-0.074215
4k,11-24,y2_base,0.358714,0.457145,0.098431
4k,19-18,y2_base,0.357180,0.308712,-0.048468
4k,20-21,y2_base,0.351096,0.277332,-0.073764
4k,18-16,y2_rpe_cur_L16k,0.452883,0.485325,0.032441
4k,19-22,y2_rpe_cur_L16k,0.440651,0.443666,0.003015
4k,19-20,y2_rpe_cur_L16k,0.433875,0.491322,0.057447
4k,11-27,y2_rpe_cur_L16k,0.424728,0.334205,-0.090523
4k,16-20,y2_rpe_cur_L16k,0.416347,0.416210,-0.000137
4k,19-15,y2_rpe_cur_L16k,0.410410,0.508525,0.098116
4k,19-6,y2_rpe_cur_L16k,0.403025,0.439760,0.036734
4k,20-26,y2_rpe_cur_L16k,0.401246,0.333139,-0.068107
4k,16-4,y2_rpe_cur_L16k,0.399781,0.261787,-0.137994
4k,11-23,y2_rpe_cur_L16k,0.390901,0.304141,-0.086760
4k,16-0,y2_rpe_cur_L16k,0.371094,0.302994,-0.068100
4k,16-1,y2_rpe_cur_L16k,0.361853,0.325348,-0.036505
4k,19-23,y2_rpe_cur_L16k,0.361783,0.418622,0.056839
4k,11-24,y2_rpe_cur_L16k,0.358714,0.419026,0.060312
4k,19-18,y2_rpe_cur_L16k,0.357180,0.376457,0.019277
4k,20-21,y2_rpe_cur_L16k,0.351096,0.313983,-0.037113
8k,19-22,lora_base,0.464209,0.464209,0.000000
8k,18-16,lora_base,0.454712,0.454712,0.000000
8k,19-15,lora_base,0.445436,0.445436,0.000000
8k,16-20,lora_base,0.439453,0.439453,0.000000
8k,19-20,lora_base,0.437464,0.437464,0.000000
8k,16-4,lora_base,0.409836,0.409836,0.000000
8k,20-26,lora_base,0.407315,0.407315,0.000000
8k,19-23,lora_base,0.404212,0.404212,0.000000
8k,19-6,lora_base,0.399534,0.399534,0.000000
8k,11-27,lora_base,0.398702,0.398702,0.000000
8k,19-18,lora_base,0.394977,0.394977,0.000000
8k,16-0,lora_base,0.388077,0.388077,0.000000
8k,21-5,lora_base,0.377018,0.377018,0.000000
8k,11-24,lora_base,0.373732,0.373732,0.000000
8k,14-8,lora_base,0.368428,0.368428,0.000000
8k,20-21,lora_base,0.364546,0.364546,0.000000
8k,19-22,y2_base,0.464209,0.412324,-0.051885
8k,18-16,y2_base,0.454712,0.377731,-0.076982
