condition,bin,head,score,rank
y2_base,0k,16-20,0.333448,23
y2_base,0k,16-14,0.248617,54
y2_base,0k,16-0,0.419076,7
y2_base,0k,15-24,0.171397,122
y2_base,0k,16-18,0.220883,80
y2_base,0k,17-18,0.071536,266
y2_base,0k,16-1,0.380401,12
y2_base,0k,19-18,0.345914,19
y2_base,0k,19-19,0.226354,72
y2_base,0k,18-16,0.344847,20
y2_base,0k,16-17,0.233769,62
y2_base,0k,19-25,0.167832,127
y2_base,0k,19-17,0.143511,166
y2_base,0k,20-21,0.284686,37
y2_base,1k,16-19,0.037946,133
y2_base,1k,16-2,0.045561,87
y2_base,1k,16-20,0.101469,8
y2_base,1k,16-14,0.074315,29
y2_base,1k,16-0,0.093167,12
y2_base,1k,15-24,0.032978,164
y2_base,1k,16-18,0.053553,65
y2_base,1k,17-18,0.020288,241
y2_base,1k,16-1,0.088831,16
y2_base,1k,19-18,0.086590,18
y2_base,1k,19-19,0.047996,81
y2_base,1k,18-16,0.101269,9
y2_base,1k,16-17,0.062218,47
y2_base,1k,19-25,0.042580,110
y2_base,1k,19-17,0.070455,34
y2_base,1k,20-21,0.078763,26
y2_base,2k,16-19,0.142354,148
y2_base,2k,16-2,0.205384,75
y2_base,2k,16-20,0.383854,11
y2_base,2k,16-14,0.312325,28
y2_base,2k,16-0,0.410792,7
y2_base,2k,15-24,0.141637,150
y2_base,2k,16-18,0.241850,55
y2_base,2k,17-18,0.073158,251
y2_base,2k,16-1,0.353025,19
y2_base,2k,19-18,0.353026,18
y2_base,2k,19-19,0.215819,71
y2_base,2k,18-16,0.407460,8
y2_base,2k,16-17,0.302827,33
y2_base,2k,19-25,0.216573,68
y2_base,2k,19-17,0.218541,67
y2_base,2k,20-21,0.273119,45
y2_base,4k,16-19,0.125513,143
y2_base,4k,16-2,0.178040,85
y2_base,4k,16-20,0.369518,7
y2_base,4k,16-14,0.341327,14
y2_base,4k,16-0,0.391606,5
y2_base,4k,15-24,0.114553,165
y2_base,4k,16-18,0.237921,44
y2_base,4k,17-18,0.063674,247
y2_base,4k,16-1,0.294227,29
y2_base,4k,19-18,0.308712,26
y2_base,4k,19-19,0.213547,62
y2_base,4k,18-16,0.384616,6
y2_base,4k,16-17,0.312987,24
y2_base,4k,19-25,0.234414,50
y2_base,4k,19-17,0.219529,58
y2_base,4k,20-21,0.277332,35
y2_base,8k,16-19,0.111081,147
y2_base,8k,16-2,0.159054,93
y2_base,8k,16-20,0.368232,9
y2_base,8k,16-14,0.371883,8
y2_base,8k,16-0,0.383630,4
y2_base,8k,15-24,0.088322,183
y2_base,8k,16-18,0.214991,58
y2_base,8k,17-18,0.059110,239
y2_base,8k,16-1,0.280378,30
y2_base,8k,19-18,0.308695,22
y2_base,8k,19-19,0.231107,52
y2_base,8k,18-16,0.377731,7
y2_base,8k,16-17,0.316126,19
y2_base,8k,19-25,0.252657,36
y2_base,8k,19-17,0.245387,41
y2_base,8k,20-21,0.291457,28
y2_base,16k,16-19,0.087574,154
y2_base,16k,16-2,0.132887,91
y2_base,16k,16-20,0.367216,6
y2_base,16k,16-14,0.362046,8
y2_base,16k,16-0,0.371145,5
y2_base,16k,15-24,0.070374,187
y2_base,16k,16-18,0.179698,67
y2_base,16k,17-18,0.078531,171
y2_base,16k,16-1,0.260506,28
y2_base,16k,19-18,0.288990,20
y2_base,16k,19-19,0.222818,40
y2_base,16k,18-16,0.373645,4
y2_base,16k,16-17,0.295073,18
y2_base,16k,19-25,0.239617,37
y2_base,16k,19-17,0.267681,26
y2_base,16k,20-21,0.296435,16
y2_base,32k,16-19,0.074634,158
y2_base,32k,16-2,0.118408,101
y2_base,32k,16-20,0.408382,3
y2_base,32k,16-14,0.364352,7
y2_base,32k,16-0,0.380941,5
y2_base,32k,15-24,0.080103,146
y2_base,32k,16-18,0.160497,71
y2_base,32k,17-18,0.117235,103
y2_base,32k,16-1,0.255888,29
y2_base,32k,19-18,0.294714,16
y2_base,32k,19-19,0.224814,38
y2_base,32k,18-16,0.371179,6
y2_base,32k,16-17,0.280721,19
y2_base,32k,19-25,0.216310,41
y2_base,32k,19-17,0.324282,12
y2_base,32k,20-21,0.296087,14
y2_base,64k,16-19,0.048927,168
y2_base,64k,16-2,0.104465,92
y2_base,64k,16-20,0.346206,7
y2_base,64k,16-14,0.270823,14
y2_base,64k,16-0,0.351168,5
y2_base,64k,15-24,0.071501,127
y2_base,64k,16-18,0.121721,73
y2_base,64k,17-18,0.094978,99
y2_base,64k,16-1,0.234715,26
y2_base,64k,19-18,0.275657,11
y2_base,64k,19-19,0.201604,31
y2_base,64k,18-16,0.312291,10
