model,zone,1k,2k,4k,8k,16k,32k,64k,128k
lora_base,beg,116.0,203.0,227.0,227.0,227.0,227.0,227.0,227.0
lora_base,mid,104.0,202.0,227.0,227.0,227.0,227.0,227.0,227.0
lora_base,end,108.0,202.0,227.0,227.0,227.0,227.0,227.0,227.0
y2_base,beg,116.0,203.0,227.0,227.0,227.0,227.0,227.0,227.0
y2_base,mid,104.0,202.0,227.0,227.0,227.0,227.0,227.0,227.0
y2_base,end,108.0,202.0,227.0,227.0,227.0,227.0,227.0,227.0
y2_rpe_cur_L16k,beg,116.0,203.0,227.0,227.0,227.0,227.0,227.0,227.0
y2_rpe_cur_L16k,mid,104.0,202.0,227.0,227.0,227.0,227.0,227.0,227.0
y2_rpe_cur_L16k,end,108.0,202.0,227.0,227.0,227.0,227.0,227.0,227.0
