model,zone,1k,2k,4k,8k,16k,32k,64k,128k
lora_base,beg,0.0,0.0,0.0,0.004405286343612335,0.0,0.0,0.0,0.01762114537444934
lora_base,mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013215859030837005
lora_base,end,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004405286343612335
y2_base,beg,0.0,0.0,0.0,0.004405286343612335,0.0,0.00881057268722467,0.0,0.022026431718061675
y2_base,mid,0.0,0.0,0.0,0.00881057268722467,0.00881057268722467,0.004405286343612335,0.00881057268722467,0.02643171806167401
y2_base,end,0.0,0.0,0.0,0.0,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.048458149779735685
y2_rpe_cur_L16k,beg,0.0,0.0,0.0,0.004405286343612335,0.0,0.0,0.0,0.00881057268722467
y2_rpe_cur_L16k,mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y2_rpe_cur_L16k,end,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.004405286343612335,0.0
