mean_pos_decile,lora_base,y2_base,y2_rpe_cur_L16k
0,0.6926829268292682,0.6146341463414634,0.7024390243902439
1,0.6225490196078431,0.5637254901960784,0.6862745098039216
2,0.6470588235294118,0.6225490196078431,0.696078431372549
3,0.6146341463414634,0.6195121951219512,0.7219512195121951
4,0.696078431372549,0.5980392156862745,0.6225490196078431
5,0.6862745098039216,0.6127450980392157,0.6470588235294118
6,0.7058823529411765,0.6666666666666666,0.7843137254901961
7,0.7853658536585366,0.7804878048780488,0.8780487804878049
8,0.7745098039215687,0.7205882352941176,0.8480392156862745
9,0.7745098039215687,0.7794117647058824,0.8823529411764706
