zone,end_minus_mid,end_minus_mid,end_minus_mid,end_minus_beg,end_minus_beg,end_minus_beg,mid_minus_beg,mid_minus_beg,mid_minus_beg
model,lora_base,y2_base,y2_rpe_cur_L16k,lora_base,y2_base,y2_rpe_cur_L16k,lora_base,y2_base,y2_rpe_cur_L16k
bin,,,,,,,,,
1k,-0.006054131054130996,-0.0017806267806268483,-0.01388888888888884,0.01085568326947639,-0.005427841634738195,0.024904214559387072,0.016909814323607386,-0.003647214854111347,0.03879310344827591
2k,0.03960396039603964,0.06930693069306926,0.044554455445544594,0.12268936253231233,0.05840608691411009,0.028898210018046155,0.08308540213627269,-0.010900843778959168,-0.01565624542749844
4k,0.13656387665198233,0.12334801762114533,0.026431718061673992,0.1145374449339207,0.1145374449339207,0.08810572687224671,-0.022026431718061623,-0.008810572687224627,0.06167400881057272
8k,0.013215859030837107,0.13656387665198233,0.03083700440528636,0.1277533039647577,0.1541850220264317,0.11013215859030834,0.1145374449339206,0.017621145374449365,0.07929515418502198
16k,0.31718061674008813,0.29074889867841414,0.16299559471365632,0.06607929515418509,0.11894273127753308,0.09691629955947134,-0.25110132158590304,-0.17180616740088106,-0.06607929515418498
32k,0.08810572687224671,0.1145374449339207,0.16299559471365643,0.13215859030837007,0.19383259911894268,0.13656387665198244,0.04405286343612336,0.07929515418502198,-0.026431718061673992
64k,0.06607929515418509,0.1277533039647577,0.15859030837004406,0.13215859030837007,0.18502202643171806,0.27753303964757714,0.06607929515418498,0.05726872246696035,0.11894273127753308
128k,0.1674008810572687,0.16740088105726875,0.2555066079295154,0.11894273127753308,0.09691629955947134,0.12334801762114533,-0.048458149779735615,-0.0704845814977974,-0.13215859030837007
