model,zone,1k,2k,4k,8k,16k,32k,64k,128k
lora_base,beg,17.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
lora_base,mid,17.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
lora_base,end,16.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
y2_base,beg,17.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
y2_base,mid,17.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
y2_base,end,16.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
y2_rpe_cur_L16k,beg,17.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
y2_rpe_cur_L16k,mid,17.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
y2_rpe_cur_L16k,end,16.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
