pair,zone,1k,2k,4k,8k,16k,32k,64k,128k
y2_base - lora_base,beg,-0.09482758620689657,0.014778325123152691,-0.04405286343612336,-0.017621145374449365,-0.08370044052863435,-0.06607929515418498,-0.04405286343612336,-0.048458149779735615
y2_base - lora_base,mid,-0.11538461538461531,-0.07920792079207917,-0.03083700440528636,-0.1145374449339206,-0.004405286343612369,-0.03083700440528636,-0.052863436123347984,-0.0704845814977974
y2_base - lora_base,end,-0.11111111111111116,-0.04950495049504955,-0.04405286343612336,0.008810572687224627,-0.03083700440528636,-0.004405286343612369,0.008810572687224627,-0.07048458149779735
y2_rpe_cur_L16k - lora_base,beg,-0.06034482758620696,0.054187192118226535,-0.017621145374449365,0.03964757709251099,0.0,0.052863436123347984,-0.03524229074889873,0.10572687224669608
y2_rpe_cur_L16k - lora_base,mid,-0.038461538461538436,-0.044554455445544594,0.06607929515418498,0.004405286343612369,0.18502202643171806,-0.017621145374449365,0.017621145374449365,0.022026431718061623
y2_rpe_cur_L16k - lora_base,end,-0.04629629629629628,-0.03960396039603964,-0.04405286343612336,0.022026431718061623,0.03083700440528625,0.05726872246696035,0.11013215859030834,0.11013215859030834
y2_rpe_cur_L16k - y2_base,beg,0.03448275862068961,0.039408866995073843,0.026431718061673992,0.05726872246696035,0.08370044052863435,0.11894273127753296,0.008810572687224627,0.1541850220264317
y2_rpe_cur_L16k - y2_base,mid,0.07692307692307687,0.03465346534653457,0.09691629955947134,0.11894273127753296,0.18942731277533043,0.013215859030836996,0.07048458149779735,0.09251101321585903
y2_rpe_cur_L16k - y2_base,end,0.06481481481481488,0.00990099009900991,0.0,0.013215859030836996,0.06167400881057261,0.06167400881057272,0.10132158590308371,0.1806167400881057
