tc_bucket,lora_base,y2_base,y2_rpe_cur_L16k
"(1024, 2048]",0.9054878048780488,0.7987804878048781,0.8567073170731707
"(2048, 4096]",0.8517298187808896,0.8138385502471169,0.841845140032949
"(4096, 8192]",0.8281938325991189,0.788546255506608,0.8296622613803231
"(8192, 16384]",0.8164464023494861,0.775330396475771,0.8384728340675477
"(16384, 32768]",0.748898678414097,0.7092511013215859,0.8208516886930984
"(32768, 65536]",0.7723935389133627,0.7386196769456681,0.8032305433186491
"(65536, 131072]",0.6637298091042585,0.617474302496329,0.7187958883994127
