mean_pos_decile,lora_base,y2_base,y2_rpe_cur_L16k
0,205.0,205.0,205.0
1,204.0,204.0,204.0
2,204.0,204.0,204.0
3,205.0,205.0,205.0
4,204.0,204.0,204.0
5,204.0,204.0,204.0
6,204.0,204.0,204.0
7,205.0,205.0,205.0
8,204.0,204.0,204.0
9,204.0,204.0,204.0
